background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
0.5943110585212708,0.014713612385094166,mask_Face+Body_mean,target_roi,999,E3_joint_redundancy,,,,Scene,Face+Body,,,coco_polygon,,1.0,12345
0.6710150837898254,-0.018049411475658417,mask_Face+Body_pure_random_01_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Face+Body,,,coco_polygon,,1.0,12345
0.6550309062004089,0.018408194184303284,mask_Face+Body_pure_random_02_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Face+Body,,,coco_polygon,,1.0,12345
0.6855162382125854,0.007793005555868149,mask_Face+Body_pure_random_03_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Face+Body,,,coco_polygon,,1.0,12345
0.6718574166297913,-0.006408486515283585,mask_Face+Body_pure_random_04_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Face+Body,,,coco_polygon,,1.0,12345
0.6436066031455994,-0.010351510718464851,mask_Face+Body_pure_random_05_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Face+Body,,,coco_polygon,,1.0,12345
0.6758936643600464,0.01728910394012928,mask_Face+Scene_mean,target_roi,999,E3_joint_redundancy,,,,Scene,Face+Scene,,,coco_polygon,,1.0,12345
0.6612153649330139,-0.025727543979883194,mask_Face+Scene_pure_random_01_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Face+Scene,,,coco_polygon,,1.0,12345
0.6635549664497375,0.010752473026514053,mask_Face+Scene_pure_random_02_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Face+Scene,,,coco_polygon,,1.0,12345
0.6776293516159058,0.006440289318561554,mask_Face+Scene_pure_random_03_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Face+Scene,,,coco_polygon,,1.0,12345
0.6378819942474365,0.006123973056674004,mask_Face+Scene_pure_random_04_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Face+Scene,,,coco_polygon,,1.0,12345
0.6279679536819458,-0.01109924353659153,mask_Face+Scene_pure_random_05_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Face+Scene,,,coco_polygon,,1.0,12345
0.6560618281364441,0.02842245064675808,mask_Scene_mean,target_roi,999,E3_joint_redundancy,,,,Scene,Scene,,,coco_polygon,,1.0,12345
0.6672778129577637,-0.012442357838153839,mask_Scene_pure_random_01_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Scene,,,coco_polygon,,1.0,12345
0.6836885213851929,-0.00987627636641264,mask_Scene_pure_random_02_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Scene,,,coco_polygon,,1.0,12345
0.6751949787139893,0.030925346538424492,mask_Scene_pure_random_03_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Scene,,,coco_polygon,,1.0,12345
0.6292476058006287,0.019710591062903404,mask_Scene_pure_random_04_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Scene,,,coco_polygon,,1.0,12345
0.699704110622406,0.002488764002919197,mask_Scene_pure_random_05_mean,pure_matched_random,999,E3_joint_redundancy,,,,Scene,Scene,,,coco_polygon,,1.0,12345
0.6646227240562439,0.030521251261234283,no_mask,none,999,E3_joint_redundancy,,,,Scene,none,,,coco_polygon,,1.0,12345
0.6646227240562439,0.030521251261234283,no_mask_repeat,none,999,E3_joint_redundancy,,,,Scene,none,,,coco_polygon,,1.0,12345
