dataset_idx,excess_causal_loss,image_category,masked_roi,metric,num_seeds
295,0.0007964054743448886,Face,Face,lpips,3
340,0.002147237459818522,Face,Face,lpips,3
375,-0.004882454872131348,Face,Face,lpips,3
384,0.002094384034474691,Face,Face,lpips,3
415,-0.0012630740801493328,Face,Face,lpips,3
434,-0.0007464965184529622,Face,Face,lpips,3
465,-0.005555164813995361,Face,Face,lpips,3
498,-0.0004525065422058107,Face,Face,lpips,3
507,-0.004648955663045247,Face,Face,lpips,3
529,0.001376593112945557,Face,Face,lpips,3
561,-0.0010581930478413902,Face,Face,lpips,3
588,0.007377151648203532,Face,Face,lpips,3
606,-0.0026183207829793293,Face,Face,lpips,3
678,-0.0037850419680277507,Face,Face,lpips,3
708,0.0002736369768778478,Face,Face,lpips,3
756,0.003770526250203451,Face,Face,lpips,3
762,0.0014811078707377117,Face,Face,lpips,3
781,0.0002905368804931637,Face,Face,lpips,3
789,-0.001379223664601644,Face,Face,lpips,3
817,0.0011265079180399578,Face,Face,lpips,3
820,-0.0024035056432088215,Face,Face,lpips,3
838,0.0029189149538675946,Face,Face,lpips,3
877,0.0013921022415161134,Face,Face,lpips,3
887,-0.003587007522583008,Face,Face,lpips,3
973,-0.0003666996955871583,Face,Face,lpips,3
1,-0.01023901303609212,Face,Face,clip,3
16,-0.011984364191691079,Face,Face,clip,3
20,-0.016283377011617025,Face,Face,clip,3
51,0.005747457345326743,Face,Face,clip,3
77,0.014404749870300292,Face,Face,clip,3
135,0.03132318456967672,Face,Face,clip,3
158,0.00253214438756307,Face,Face,clip,3
177,0.0006597479184468585,Face,Face,clip,3
188,0.03363511562347412,Face,Face,clip,3
218,-0.0070461948712666825,Face,Face,clip,3
287,-0.00037839810053507533,Face,Face,clip,3
292,-0.01993289589881897,Face,Face,clip,3
295,-0.00568373203277588,Face,Face,clip,3
340,-0.02298593521118164,Face,Face,clip,3
375,-0.008722617228825887,Face,Face,clip,3
384,0.013989754517873126,Face,Face,clip,3
415,-0.0015096306800842288,Face,Face,clip,3
434,-0.025049899021784464,Face,Face,clip,3
465,-0.023961675167083737,Face,Face,clip,3
498,-0.002849785486857099,Face,Face,clip,3
507,-0.03556817173957825,Face,Face,clip,3
529,-0.009870266914367674,Face,Face,clip,3
561,0.015603591998418173,Face,Face,clip,3
588,0.011200104157129923,Face,Face,clip,3
606,-0.01170338789621989,Face,Face,clip,3
678,0.011060126622517904,Face,Face,clip,3
708,-0.014323596159617105,Face,Face,clip,3
756,0.027253607908884685,Face,Face,clip,3
762,-0.006572230656941731,Face,Face,clip,3
781,-0.015317706267038982,Face,Face,clip,3
789,0.0005871911843617766,Face,Face,clip,3
817,0.004488917191823323,Face,Face,clip,3
820,0.025620756546656288,Face,Face,clip,3
838,-0.01897223989168803,Face,Face,clip,3
877,-0.037099977334340416,Face,Face,clip,3
887,0.11641634305318198,Face,Face,clip,3
973,0.01296823024749756,Face,Face,clip,3
1,-0.026936055719852452,Face,Face,dino,3
16,-0.0039331675817569104,Face,Face,dino,3
20,-0.04178185065587362,Face,Face,dino,3
51,-0.010389386179546515,Face,Face,dino,3
77,0.03032478926082452,Face,Face,dino,3
135,0.016702114045619967,Face,Face,dino,3
158,0.015918102860450745,Face,Face,dino,3
177,0.0014292220274607342,Face,Face,dino,3
188,0.011670986625055472,Face,Face,dino,3
218,0.04426902222136656,Face,Face,dino,3
287,0.011676283677419026,Face,Face,dino,3
292,0.034902049352725346,Face,Face,dino,3
295,0.027595000620931384,Face,Face,dino,3
340,0.008532585700352986,Face,Face,dino,3
375,0.005517730365196864,Face,Face,dino,3
384,0.01288906534512838,Face,Face,dino,3
415,-0.011911411086718246,Face,Face,dino,3
434,-0.0260624165336291,Face,Face,dino,3
465,-0.0017093643546104431,Face,Face,dino,3
498,0.06262958745161694,Face,Face,dino,3
507,-0.016152944167455035,Face,Face,dino,3
529,-0.03815142860015234,Face,Face,dino,3
561,-0.018163860340913135,Face,Face,dino,3
588,0.021450771701832613,Face,Face,dino,3
606,-0.005567113651583591,Face,Face,dino,3
678,0.020444241662820183,Face,Face,dino,3
708,-0.023310601711273193,Face,Face,dino,3
756,-0.003597298264503479,Face,Face,dino,3
762,-0.009647005796432497,Face,Face,dino,3
781,0.016453864177068078,Face,Face,dino,3
789,0.001177408297856648,Face,Face,dino,3
817,0.019890621304512027,Face,Face,dino,3
820,-0.022184036672115326,Face,Face,dino,3
838,-0.02204647163550059,Face,Face,dino,3
877,-0.013314533233642576,Face,Face,dino,3
887,0.026480539639790853,Face,Face,dino,3
973,-0.012214376529057823,Face,Face,dino,3
1,-0.00021402835845947253,Face,Face,face_lpips,3
16,0.005409689744313558,Face,Face,face_lpips,3
20,0.0006360491116841638,Face,Face,face_lpips,3
51,-0.004651395479838053,Face,Face,face_lpips,3
77,0.011173784732818604,Face,Face,face_lpips,3
135,0.0033667643864949554,Face,Face,face_lpips,3
158,0.00036749045054117836,Face,Face,face_lpips,3
177,0.0011274615923563638,Face,Face,face_lpips,3
188,0.010510019461313884,Face,Face,face_lpips,3
218,-0.013987402121225992,Face,Face,face_lpips,3
287,0.0017374595006306966,Face,Face,face_lpips,3
292,0.017622458934783935,Face,Face,face_lpips,3
295,0.03085043827692668,Face,Face,face_lpips,3
340,-0.007825175921122232,Face,Face,face_lpips,3
375,0.006162397066752115,Face,Face,face_lpips,3
384,-0.002175732453664144,Face,Face,face_lpips,3
415,-0.0001769622166951498,Face,Face,face_lpips,3
434,0.005799436569213866,Face,Face,face_lpips,3
465,-0.0036306381225585938,Face,Face,face_lpips,3
498,0.009172638257344564,Face,Face,face_lpips,3
507,7.131099700927758e-05,Face,Face,face_lpips,3
529,-0.003851894537607829,Face,Face,face_lpips,3
561,0.004300840695699056,Face,Face,face_lpips,3
588,-0.001167750358581543,Face,Face,face_lpips,3
606,0.01121285359064738,Face,Face,face_lpips,3
678,0.009583199024200439,Face,Face,face_lpips,3
708,-0.009042898813883463,Face,Face,face_lpips,3
756,-0.00024995009104410854,Face,Face,face_lpips,3
762,0.012326049804687501,Face,Face,face_lpips,3
781,0.001470609505971273,Face,Face,face_lpips,3
789,0.003489319483439128,Face,Face,face_lpips,3
817,-0.0036807894706726075,Face,Face,face_lpips,3
820,-0.012113165855407717,Face,Face,face_lpips,3
838,-0.0020767450332641606,Face,Face,face_lpips,3
877,0.009955636660257975,Face,Face,face_lpips,3
887,0.06344302495320639,Face,Face,face_lpips,3
973,0.0020437836647033687,Face,Face,face_lpips,3
1,-0.03272640109062195,Face,Face,face_dino,3
16,0.005719021956125896,Face,Face,face_dino,3
20,0.004388496279716494,Face,Face,face_dino,3
51,0.0040503354122241346,Face,Face,face_dino,3
77,-0.0031502341230710343,Face,Face,face_dino,3
135,0.048858793576558424,Face,Face,face_dino,3
158,0.019517617424329125,Face,Face,face_dino,3
177,0.001462371150652568,Face,Face,face_dino,3
188,-0.03294800023237864,Face,Face,face_dino,3
218,0.015101803342501321,Face,Face,face_dino,3
287,0.018470646440982817,Face,Face,face_dino,3
292,0.02718103130658468,Face,Face,face_dino,3
295,-0.04476024582982063,Face,Face,face_dino,3
340,0.006255359450976057,Face,Face,face_dino,3
375,0.0029830098152160644,Face,Face,face_dino,3
384,0.020570104320844017,Face,Face,face_dino,3
415,0.009776620318492251,Face,Face,face_dino,3
434,-0.055468509594599404,Face,Face,face_dino,3
465,-0.026120662689208984,Face,Face,face_dino,3
498,0.025787868102391562,Face,Face,face_dino,3
507,-0.045525215069452916,Face,Face,face_dino,3
529,-0.020731468002001447,Face,Face,face_dino,3
561,0.029720503091812133,Face,Face,face_dino,3
588,-0.015003171811501187,Face,Face,face_dino,3
606,0.0100577712059021,Face,Face,face_dino,3
678,-0.022560968001683557,Face,Face,face_dino,3
708,-0.06357773231963317,Face,Face,face_dino,3
756,0.002947058280309041,Face,Face,face_dino,3
762,0.014016879598299663,Face,Face,face_dino,3
781,0.015364758794506392,Face,Face,face_dino,3
789,0.0053492933511734035,Face,Face,face_dino,3
817,-0.0009459525346756,Face,Face,face_dino,3
820,0.005045668284098307,Face,Face,face_dino,3
838,4.760337372620762e-05,Face,Face,face_dino,3
877,-0.018948635707298916,Face,Face,face_dino,3
