background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,local_region_pixels,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
,,mask_Face+Body+Scene_mean,target_roi,287,E3_joint_redundancy,0.0,0.08545083552598953,0.8004160523414612,Face,32761,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_mean,target_roi,415,E3_joint_redundancy,0.0,0.17385415732860565,0.7054707407951355,Face,30625,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_mean,target_roi,465,E3_joint_redundancy,1.0,0.34512704610824585,0.7749946713447571,Face,24649,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_mean,target_roi,529,E3_joint_redundancy,1.0,0.27572086453437805,0.6600875854492188,Face,17161,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_mean,target_roi,678,E3_joint_redundancy,0.0,0.5752772688865662,0.5835673213005066,Face,17956,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_mean,target_roi,756,E3_joint_redundancy,1.0,0.4802427291870117,0.8536947965621948,Face,42025,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_mean,target_roi,781,E3_joint_redundancy,0.0,0.04800936579704285,0.691220223903656,Face,16641,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_mean,target_roi,789,E3_joint_redundancy,0.0,0.2604118287563324,0.6715874671936035,Face,17424,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_mean,target_roi,973,E3_joint_redundancy,0.0,0.20516273379325867,0.8767666816711426,Face,52900,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_01_mean,pure_matched_random,158,E3_joint_redundancy,1.0,0.17656825482845306,0.7166263461112976,Face,33856,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_01_mean,pure_matched_random,287,E3_joint_redundancy,0.0,0.11257098615169525,0.8031044006347656,Face,32761,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_01_mean,pure_matched_random,415,E3_joint_redundancy,0.0,0.27614083886146545,0.7369520664215088,Face,30625,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_01_mean,pure_matched_random,465,E3_joint_redundancy,1.0,0.2960098683834076,0.7996132373809814,Face,24649,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_01_mean,pure_matched_random,529,E3_joint_redundancy,0.0,0.30265480279922485,0.6604979038238525,Face,17161,Face+Body+Scene,,,,,,12345
