analysis_status,bh_q_e3b,ci95,image_category,masked_roi,metric,metric_family,num_images,sign_flip_p,target_minus_pure_random
formal,0.3883822144101379,"[-0.0015730230335716726, 0.011029843199360475]",Face,Face+Body,face_lpips,local,37,0.16398360163983602,0.004587313183793076
formal,0.9011055416197511,"[-0.00390925287931889, 0.003522513683314797]",Face,Face+Body,lpips,global,37,0.806019398060194,-0.0005062743350192231
formal,0.17298270172982702,"[-0.0071122441875177776, -0.0005830834464738664]",Face,Face+Body,pixel_corr,global,37,0.034596540345965404,-0.0036404970866124914
formal,0.24966253374662536,"[-0.0041533901729270085, 8.557200315542342e-05]",Face,Face+Body,ssim,global,37,0.07289271072892711,-0.0020339530115898773
formal,0.9011055416197511,"[-0.008648460946373037, 0.011859650285662833]",Face,Face+Body+Scene,clip,global,37,0.8155184481551845,0.0013077790404225254
formal,0.9011055416197511,"[-0.01785414770918873, 0.013533014338484507]",Face,Face+Body+Scene,dino,global,37,0.829017098290171,-0.0017861587196789878
formal,0.38746125387461255,"[-0.11531531531531532, 0.014414414414414416]",Face,Face+Body+Scene,face_detection_success,local,37,0.15498450154984503,-0.05045045045045045
formal,0.7637986201379862,"[-0.012440083901343348, 0.006104217764044702]",Face,Face+Body+Scene,face_dino,local,37,0.47525247475252475,-0.0034849012966964165
formal,0.042745725427457255,"[0.004681703518102835, 0.01682278970071861]",Face,Face+Body+Scene,face_lpips,local,37,0.0014998500149985001,0.010547065949654794
formal,0.29900235782873325,"[-0.0004331588396080982, 0.005158148585139093]",Face,Face+Body+Scene,lpips,global,37,0.12358764123587641,0.0023250693673486102
formal,0.5231184198653305,"[-0.010132175132440243, 0.002386704926825534]",Face,Face+Body+Scene,pixel_corr,global,37,0.285971402859714,-0.003584080547355427
formal,0.065993400659934,"[-0.009042415269591169, -0.0018462331766832937]",Face,Face+Body+Scene,ssim,global,37,0.004399560043995601,-0.005145529258612616
